Axial force,Gap
N,µm
0.600479,32243.1
0.525404,32243
0.451195,32243
0.383996,32243
0.338569,32243
0.294967,32243.1
0.230697,32243.1
0.13571,32243.1
-0.0266721,32243.1
-0.297838,32243
-0.664013,32243.1
-1.0601,32242.9
-1.43731,32243
-1.81872,32243
-2.24277,32243
-2.69214,32242.8
-3.14963,32242.8
-3.64447,32242.8
-4.19237,32242.8
-4.74721,32242.7
-4.61735,32242.7
-4.23438,32242.6
-3.85749,32242.6
-3.45079,32242.7
-3.04552,32242.7
-2.67218,32242.6
-2.30778,32242.6
-1.93119,32242.6
-1.56138,32242.7
-1.23333,32242.7
-0.924513,32242.7
-0.608526,32242.7
-0.298607,32242.7
-0.0267689,32242.7
0.217206,32242.7
0.438516,32242.8
0.606828,32242.9
0.6811,32242.9
0.676195,32242.8
0.672277,32242.8
