Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Displacement,Torque,Gap,Axial force,Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Displacement,Torque,Gap,Axial force
Pa,1/s,Pa.s,s,°C,Pa,rad,µN.m,µm,N,Pa,1/s,Pa.s,s,°C,Pa,rad,µN.m,µm,N
1688510,0.000679373,2485400000,1.50998,45.004,1.10491,0.125222,233.725,33336.8,1.10491,34365700,-5.14102E-05,-6.68462E+11,1.50998,45.029,-2.32216,-0.0979077,4756.92,33336.5,-2.32216
3538880,0.000906237,3905020000,4.65309,45.02,0.985273,0.261566,489.853,33336.8,0.985273,32519400,-0.00055295,-58810700000,4.65309,44.985,-2.08146,-0.172467,4501.35,33336.6,-2.08146
5313620,0.00116739,4551710000,7.66774,45.008,0.907567,0.490876,735.513,33336.8,0.907567,30748500,-0.000904355,-34000500000,7.66774,45.025,-1.8391,-0.337224,4256.22,33336.4,-1.8391
7088370,0.00135441,5233530000,10.6824,45.021,0.857403,0.778251,981.174,33336.7,0.857403,28977600,-0.00107276,-27012200000,10.6824,45.04,-1.56466,-0.559166,4011.09,33336.4,-1.56466
8824530,0.00148225,5953460000,13.6315,44.974,0.81414,1.09347,1221.49,33336.9,0.81414,27245200,-0.00121225,-22474900000,13.6315,45.019,-1.29755,-0.812503,3771.29,33336.5,-1.29755
10560700,0.00158882,6646870000,16.5806,45.006,0.76691,1.43437,1461.81,33336.9,0.76691,25512800,-0.00132522,-19251800000,16.5806,45,-1.0531,-1.0942,3531.5,33336.5,-1.0531
12335400,0.00168445,7323140000,19.5953,44.986,0.733295,1.80461,1707.48,33336.9,0.733295,23742000,-0.00143841,-16505700000,19.5953,44.999,-0.804459,-1.40651,3286.37,33336.6,-0.804459
14110200,0.00176907,7976040000,22.61,44.992,0.710223,2.1947,1953.14,33336.9,0.710223,21971100,-0.0015269,-14389300000,22.61,45.002,-0.531852,-1.74062,3041.24,33336.5,-0.531852
15884900,0.00183979,8634080000,25.6246,45.018,0.657678,2.60277,2198.8,33336.8,0.657678,20200200,-0.00159521,-12663100000,25.6246,45.017,-0.263659,-2.0944,2796.12,33336.4,-0.263659
17659700,0.00189648,9311840000,28.6393,45.028,0.556122,3.02525,2444.46,33336.8,0.556122,18429300,-0.00166224,-11087000000,28.6393,45.018,-0.021273,-2.46306,2550.99,33336.5,-0.021273
19434400,0.00196561,9887210000,31.6539,45.002,0.423669,3.46125,2690.12,33336.9,0.423669,16658400,-0.00174757,-9532330000,31.6539,44.992,0.21949,-2.84735,2305.86,33336.6,0.21949
21209200,0.00205118,10340000000,34.6686,44.98,0.252971,3.91393,2935.78,33336.9,0.252971,14887500,-0.00185297,-8034420000,34.6686,44.981,0.474097,-3.25395,2060.74,33336.6,0.474097
22983900,0.00218,10543100000,37.6832,44.993,0.00510183,4.39103,3181.44,33336.8,0.00510183,13116600,-0.00197663,-6635860000,37.6832,44.992,0.710793,-3.68677,1815.61,33336.5,0.710793
24720100,0.00228837,10802500000,40.6324,45.021,-0.300289,4.88495,3421.76,33336.8,-0.300289,11384200,-0.00210399,-5410800000,40.6324,45.009,0.903046,-4.1379,1575.81,33336.5,0.903046
26456200,0.00237923,11119600000,43.5815,45.018,-0.62696,5.40113,3662.08,33336.7,-0.62696,9651860,-0.00221486,-4357780000,43.5815,45.002,1.0626,-4.61526,1336.01,33336.6,1.0626
28231000,0.00246746,11441300000,46.5961,45.021,-0.965904,5.94841,3907.74,33336.7,-0.965904,7880970,-0.00234945,-3354390000,46.5961,45.002,1.20282,-5.12977,1090.89,33336.6,1.20282
30005700,0.0025737,11658600000,49.6108,45.011,-1.3278,6.51707,4153.4,33336.7,-1.3278,6110080,-0.00251471,-2429740000,49.6108,45.008,1.30146,-5.67845,845.76,33336.6,1.30146
31780500,0.00276001,11514600000,52.6254,45.001,-1.70097,7.11875,4399.06,33336.6,-1.70097,4339190,-0.00269718,-1608790000,52.6254,44.988,1.35032,-6.26681,600.633,33336.7,1.35032
33555200,0.0029888,11227000000,55.6401,44.965,-2.05462,7.76641,4644.72,33336.7,-2.05462,2568310,-0.00291369,-881462000,55.6401,45.018,1.36561,-6.90024,355.506,33336.6,1.36561
35252800,0.00322871,10918500000,58.5237,44.992,-2.38816,8.43843,4879.7,33336.6,-2.38816,799982,-0.00309407,-258553000,58.6548,44.993,1.3521,-7.57942,110.734,33336.7,1.3521
