Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Displacement,Torque,Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Displacement,Torque,
Pa,1/s,Pa.s,s,°C,Pa,rad,µN.m,Pa,1/s,Pa.s,s,°C,Pa,rad,µN.m,
1688510,0.00194977,866005000,1.50998,64.996,0.600479,0.278383,233.725,34438500,-0.000503412,-68410100000,1.50998,65,-4.61735,-0.149616,4766.98,14.100484
3538880,0.00192282,1840460000,4.65309,65.024,0.525404,0.662515,489.853,32588200,-0.000993025,-32817100000,4.65309,65.028,-4.23438,-0.322894,4510.87,13.927206
5313620,0.00257396,2064380000,7.66774,65.002,0.451195,1.17499,735.513,30813600,-0.00140439,-21941000000,7.66774,65.023,-3.85749,-0.593625,4265.23,13.656475
7088370,0.00281649,2516740000,10.6824,65.027,0.383996,1.76196,981.174,29038900,-0.00164653,-17636500000,10.6824,65.001,-3.45079,-0.928481,4019.58,13.321619
8824530,0.0030444,2898610000,13.6315,65.006,0.338569,2.38912,1221.49,27302900,-0.00185658,-14706000000,13.6315,64.979,-3.04552,-1.30442,3779.27,12.94568
10560700,0.00327008,3229490000,16.5806,64.984,0.294967,3.06271,1461.81,25566800,-0.0020527,-12455200000,16.5806,65.002,-2.67218,-1.72414,3538.97,12.52596
12335400,0.0034932,3531270000,19.5953,65.006,0.230697,3.80292,1707.48,23792200,-0.00219534,-10837600000,19.5953,65.022,-2.30778,-2.18812,3293.32,12.06198
14110200,0.00363233,3884610000,22.61,65,0.13571,4.58289,1953.14,22017600,-0.00237537,-9269100000,22.61,65.001,-1.93119,-2.68477,3047.68,11.56533
15884900,0.00370509,4287330000,25.6246,64.991,-0.0266721,5.38482,2198.8,20242900,-0.00259859,-7789980000,25.6246,64.998,-1.56138,-3.22648,2802.03,11.02362
17659700,0.00376216,4694030000,28.6393,65.004,-0.297838,6.20152,2444.46,18468300,-0.00286488,-6446440000,28.6393,65.003,-1.23333,-3.82245,2556.39,10.42765
19434400,0.00379492,5121170000,31.6539,65.002,-0.664013,7.02604,2690.12,16693700,-0.0031506,-5298560000,31.6539,65.003,-0.924513,-4.47943,2310.74,9.77067
21209200,0.00382852,5539780000,34.6686,65.025,-1.0601,7.86018,2935.78,14919000,-0.00346822,-4301630000,34.6686,65.004,-0.608526,-5.20235,2065.1,9.04775
22983900,0.00382052,6015910000,37.6832,64.998,-1.43731,8.69521,3181.44,13144400,-0.00377905,-3478230000,37.6832,65.003,-0.298607,-5.9934,1819.45,8.2567
24720100,0.00382982,6454620000,40.6324,64.997,-1.81872,9.51155,3421.76,11408300,-0.00403278,-2828900000,40.6324,65.018,-0.0267689,-6.82911,1579.14,7.42099
26456200,0.00384987,6871980000,43.5815,64.997,-2.24277,10.3333,3662.08,9672270,-0.00428329,-2258140000,43.5815,65.012,0.217206,-7.7167,1338.84,6.5334
28231000,0.00378191,7464740000,46.5961,65.022,-2.69214,11.1691,3907.74,7897630,-0.00462751,-1706670000,46.5961,64.993,0.438516,-8.68853,1093.19,5.56157
30005700,0.00357964,8382330000,49.6108,65.024,-3.14963,11.9746,4153.4,6123000,-0.00510899,-1198470000,49.6108,64.977,0.606828,-9.74868,847.547,4.50142
31780500,0.00344762,9218080000,52.6254,65.011,-3.64447,12.7388,4399.06,4348360,-0.00554894,-783639000,52.6254,64.985,0.6811,-10.9166,601.902,3.3335
33555200,0.00344849,9730390000,55.6401,64.982,-4.19237,13.4904,4644.72,2573730,-0.00569375,-452027000,55.6401,64.996,0.676195,-12.1485,356.256,2.1016
35327400,0.00352006,10036000000,58.6548,64.952,-4.74721,14.2501,4890.03,837770,-0.0055633,-150589000,58.5892,65.018,0.672277,-13.3545,115.964,0.8956
