Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Displacement,Torque,Axial force,Gap,Stress,Shear rate,Viscosity,Step time,Temperature,Normal stress,Displacement,Torque,Axial force,Gap,
Pa,1/s,Pa.s,s,°C,Pa,rad,µN.m,N,µm,Pa,1/s,Pa.s,s,°C,Pa,rad,µN.m,N,µm,
1723620,0.00466094,369802000,1.50998,84.997,-0.155949,0.738913,238.584,-0.155949,32184.1,34404100,-0.00145396,-23662400000,1.50998,85.026,-7.46431,-0.29034,4762.22,-7.46431,32183.4,18.81806
3572100,0.00465822,766838000,4.65309,84.997,-0.238592,1.6301,494.451,-0.238592,32184.1,32555700,-0.00179725,-18114200000,4.65309,84.993,-7.00546,-0.622273,4506.37,-7.00546,32183.5,18.486127
5345030,0.00455999,1172160000,7.66774,84.993,-0.341774,2.60625,739.861,-0.341774,32184.1,30782800,-0.00201707,-15261100000,7.66774,85.023,-6.51915,-1.03907,4260.97,-6.51915,32183.4,18.06933
7117970,0.00480165,1482400000,10.6824,85.014,-0.46303,3.65062,985.272,-0.46303,32184,29010000,-0.00226842,-12788600000,10.6824,85.002,-6.04019,-1.5071,4015.57,-6.04019,32183.5,17.6013
8852360,0.00491812,1799950000,13.6315,85.005,-0.63146,4.69837,1225.35,-0.63146,32184,27275600,-0.00252652,-10795700000,13.6315,84.989,-5.6016,-2.01944,3775.5,-5.6016,32183.5,17.08896
10586800,0.00493789,2143980000,16.5806,85.009,-0.886355,5.75074,1465.42,-0.886355,32184,25541300,-0.00277237,-9212810000,16.5806,85.021,-5.15826,-2.58581,3535.44,-5.15826,32183.4,16.52259
12359700,0.0049903,2476740000,19.5953,84.992,-1.21232,6.82943,1710.83,-1.21232,32184.1,23768400,-0.00304305,-7810740000,19.5953,85.002,-4.6881,-3.21772,3290.04,-4.6881,32183.5,15.89068
14132600,0.00511539,2762770000,22.61,84.988,-1.5534,7.93206,1956.24,-1.5534,32184.1,21995600,-0.00335972,-6546860000,22.61,84.983,-4.22797,-3.91325,3044.64,-4.22797,32183.5,15.19515
15905600,0.00514096,3093890000,25.6246,85.001,-1.90901,9.05381,2201.65,-1.90901,32184,20222700,-0.00371973,-5436600000,25.6246,85.004,-3.7868,-4.68616,2799.24,-3.7868,32183.5,14.42224
17678500,0.00494927,3571940000,28.6393,85.008,-2.30394,10.1571,2447.06,-2.30394,32184,18449900,-0.00398193,-4633390000,28.6393,85.018,-3.33239,-5.52639,2553.84,-3.33239,32183.5,13.58201
19451400,0.00467058,4164670000,31.6539,85.024,-2.73464,11.2039,2692.47,-2.73464,32183.9,16677000,-0.00421625,-3955410000,31.6539,85.021,-2.86329,-6.42096,2308.43,-2.86329,32183.5,12.68744
21224400,0.00442202,4799690000,34.6686,85.018,-3.18187,12.1942,2937.88,-3.18187,32183.9,14904100,-0.00453629,-3285540000,34.6686,84.984,-2.42736,-7.37413,2063.03,-2.42736,32183.6,11.73427
22997300,0.00431076,5334860000,37.6832,84.993,-3.65895,13.1438,3183.29,-3.65895,32183.9,13131300,-0.00505261,-2598910000,37.6832,84.974,-2.0402,-8.4178,1817.63,-2.0402,32183.7,10.6906
24731700,0.00434624,5690370000,40.6324,84.979,-4.18165,14.0662,3423.37,-4.18165,32183.9,11396900,-0.0055462,-2054910000,40.6324,85.025,-1.68762,-9.5478,1577.57,-1.68762,32183.6,9.5606
26466100,0.00431838,6128710000,43.5815,84.998,-4.73084,14.9904,3663.44,-4.73084,32183.8,9662620,-0.00589649,-1638710000,43.5815,85.011,-1.33968,-10.7681,1337.5,-1.33968,32183.6,8.3403
28239000,0.00409375,6898070000,46.5961,85.018,-5.26848,15.9103,3908.85,-5.26848,32183.7,7889760,-0.00610502,-1292340000,46.5961,85.003,-0.99289,-12.0795,1092.1,-0.99289,32183.6,7.0289
30011900,0.00380886,7879520000,49.6108,85.016,-5.80616,16.7737,4154.26,-5.80616,32183.7,6116890,-0.00634649,-963823000,49.6108,85,-0.688077,-13.4357,846.702,-0.688077,32183.7,5.6727
31784900,0.00362631,8765080000,52.6254,85.013,-6.38044,17.5816,4399.67,-6.38044,32183.6,4344030,-0.00678646,-640102000,52.6254,84.976,-0.452492,-14.8637,601.302,-0.452492,32183.8,4.2447
33557800,0.00351373,9550490000,55.6401,84.994,-6.99264,18.3577,4645.08,-6.99264,32183.6,2571170,-0.00709021,-362636000,55.6401,85.016,-0.293989,-16.3829,355.902,-0.293989,32183.7,2.7255
35292100,0.00354899,9944260000,58.5892,84.996,-7.60294,19.1084,4885.15,-7.60294,32183.5,836941,-0.00700827,-119422000,58.5892,85.012,-0.179636,-17.8907,115.85,-0.179636,32183.7,1.2177
